district,variable,month,mean_val,std_val
Central,spi,1,45.2,18.5
Central,spi,2,52.3,21.2
Central,spi,3,38.7,16.8
Central,spi,4,12.5,8.3
Central,spi,5,3.2,4.1
Central,spi,6,0.8,1.5
Central,spi,7,0.5,1.2
Central,spi,8,0.8,1.5
Central,spi,9,4.5,5.8
Central,spi,10,18.3,12.4
Central,spi,11,35.6,15.7
Central,spi,12,48.9,19.8
Central,ndvi,1,0.385,0.042
Central,ndvi,2,0.412,0.038
Central,ndvi,3,0.368,0.045
Central,ndvi,4,0.245,0.032
Central,ndvi,5,0.198,0.028
Central,ndvi,6,0.175,0.025
Central,ndvi,7,0.165,0.022
Central,ndvi,8,0.175,0.025
Central,ndvi,9,0.268,0.035
Central,ndvi,10,0.325,0.041
Central,ndvi,11,0.358,0.039
Central,ndvi,12,0.378,0.043
Central,lst,1,28.5,1.8
Central,lst,2,29.2,1.6
Central,lst,3,30.8,1.5
Central,lst,4,32.5,1.4
Central,lst,5,31.2,1.3
Central,lst,6,27.5,1.5
Central,lst,7,26.2,1.6
Central,lst,8,27.5,1.5
Central,lst,9,32.2,1.3
Central,lst,10,33.5,1.2
Central,lst,11,31.8,1.4
Central,lst,12,29.5,1.7
Central,sm,1,0.125,0.022
Central,sm,2,0.138,0.025
Central,sm,3,0.115,0.021
Central,sm,4,0.078,0.015
Central,sm,5,0.055,0.012
Central,sm,6,0.038,0.008
Central,sm,7,0.032,0.007
Central,sm,8,0.038,0.008
Central,sm,9,0.068,0.014
Central,sm,10,0.095,0.018
Central,sm,11,0.118,0.020
Central,sm,12,0.128,0.023
Ghanzi,spi,1,28.5,12.3
Ghanzi,spi,2,32.8,14.5
Ghanzi,spi,3,25.2,11.8
Ghanzi,spi,4,8.5,6.2
Ghanzi,spi,5,2.1,3.2
Ghanzi,spi,6,0.4,0.9
Ghanzi,spi,7,0.2,0.6
Ghanzi,spi,8,0.3,0.7
Ghanzi,spi,9,2.8,4.2
Ghanzi,spi,10,12.5,9.5
Ghanzi,spi,11,22.8,11.2
Ghanzi,spi,12,30.5,13.8
Ghanzi,ndvi,1,0.245,0.028
Ghanzi,ndvi,2,0.268,0.025
Ghanzi,ndvi,3,0.225,0.030
